alpha,similarity,base_lr,effective_lr,seed,forgetting,forgetting_reduction,loss_t1_after_t1,loss_t1_after_t2,loss_t2_after_t2,relative_time
1.5,0.2,0.01,0.000894427190999916,4,-0.019843384623527527,0.0,0.15742692351341248,0.13758353888988495,0.23538510501384735,0.23246479034423828
2.0,0.2,0.01,0.0004000000000000001,0,-0.008878916501998901,0.0,0.14282096922397614,0.13394205272197723,0.2618170976638794,0.2447049617767334
2.0,0.2,0.01,0.0004000000000000001,1,-0.009264662861824036,0.0,0.14401620626449585,0.13475154340267181,0.2607260048389435,0.21414470672607422
2.0,0.2,0.01,0.0004000000000000001,2,-0.010074108839035034,0.0,0.15054839849472046,0.14047428965568542,0.2736855745315552,0.20718908309936523
2.0,0.2,0.01,0.0004000000000000001,3,-0.00834287703037262,0.0,0.14365245401859283,0.13530957698822021,0.23692432045936584,0.2290973663330078
2.0,0.2,0.01,0.0004000000000000001,4,-0.009621888399124146,0.0,0.15742692351341248,0.14780503511428833,0.26235002279281616,0.20517635345458984
0.0,0.2,0.05,0.05,0,0.1535615556058474,0.0,0.0005207724752835929,0.15408232808113098,6.759425741620362e-05,0.17444801330566406
0.0,0.2,0.05,0.05,1,0.15040979234618135,0.0,0.00044594259816221893,0.15085573494434357,6.267657590797171e-05,0.1984865665435791
0.0,0.2,0.05,0.05,2,0.15081250976072624,0.0,0.00048498500837013125,0.15129749476909637,7.928921695565805e-05,0.2175445556640625
0.0,0.2,0.05,0.05,3,0.1564607210457325,0.0,0.0003858022391796112,0.1568465232849121,6.944962660782039e-05,0.16398382186889648
0.0,0.2,0.05,0.05,4,0.14984759426442906,0.0,0.0005137648549862206,0.15036135911941528,6.571371341124177e-05,0.19637846946716309
0.25,0.2,0.05,0.0334370152488211,0,0.1424914233502932,0.0,0.0005207724752835929,0.14301219582557678,0.0005518381367437541,0.184295654296875
0.25,0.2,0.05,0.0334370152488211,1,0.138925392908277,0.0,0.00044594259816221893,0.1393713355064392,0.0005460203974507749,0.1777021884918213
0.25,0.2,0.05,0.0334370152488211,2,0.13876016746507958,0.0,0.00048498500837013125,0.1392451524734497,0.0006334147183224559,0.1933150291442871
0.25,0.2,0.05,0.0334370152488211,3,0.14426888898015022,0.0,0.0003858022391796112,0.14465469121932983,0.0005917066591791809,0.21066713333129883
0.25,0.2,0.05,0.0334370152488211,4,0.1386974129709415,0.0,0.0005137648549862206,0.13921117782592773,0.0005506830639205873,0.2080996036529541
0.5,0.2,0.05,0.022360679774997897,0,0.12178486661287025,0.0,0.0005207724752835929,0.12230563908815384,0.002647572197020054,0.18959522247314453
0.5,0.2,0.05,0.022360679774997897,1,0.11757753489655443,0.0,0.00044594259816221893,0.11802347749471664,0.0027253408916294575,0.20203137397766113
0.5,0.2,0.05,0.022360679774997897,2,0.11692273180233315,0.0,0.00048498500837013125,0.11740771681070328,0.002968844957649708,0.18035221099853516
0.5,0.2,0.05,0.022360679774997897,3,0.12188363447785378,0.0,0.0003858022391796112,0.12226943671703339,0.0028551474679261446,0.18739986419677734
0.5,0.2,0.05,0.022360679774997897,4,0.11801092809764668,0.0,0.0005137648549862206,0.1185246929526329,0.0026736019644886255,0.20069432258605957
0.75,0.2,0.05,0.014953487812212209,0,0.09353088663192466,0.0,0.0005207724752835929,0.09405165910720825,0.008623306639492512,0.18560361862182617
0.75,0.2,0.05,0.014953487812212209,1,0.08909105954808183,0.0,0.00044594259816221893,0.08953700214624405,0.008977110497653484,0.1812744140625
0.75,0.2,0.05,0.014953487812212209,2,0.08819399337517098,0.0,0.00048498500837013125,0.08867897838354111,0.009401815012097359,0.19843268394470215
0.75,0.2,0.05,0.014953487812212209,3,0.09219606593251228,0.0,0.0003858022391796112,0.0925818681716919,0.009177226573228836,0.19907426834106445
0.75,0.2,0.05,0.014953487812212209,4,0.09015791601268575,0.0,0.0005137648549862206,0.09067168086767197,0.008716738782823086,0.16805171966552734
